일자,시간,장소,대상,계,내역,집행방법,
2019-07-24,웨스턴조선호텔,5,66600,제42차 시도지사협의회 총회 관련 협의회 관계자와 시정 현안사항에 대한 논의위한 환담,카드,,
2019-07-26,형제복집,21,474000,수돗물정상화 관련 여론청취를 위한 상수도사업본부 등 유관기관 관계자와 간담,카드,,
2019-07-26,소래포구 해남수산,24,660000,군구 행정실적 종합평가 관련 평가시책 및 지표개선에 따른 시군구 담당자 회의 후 간담,카드,,
2019-07-26,젊은농부해피타운,13,151000,노면전차 도입관련 여론청취를 위한 관계부서 및 유관기관 관계자와 간담,카드,,
2019-07-26,명가,14,342000,하절기 폭염 및 태풍관련 시민 대피사항 홍보 및 여론청취를 위한 지방언론사 등과 간담,카드,,
2019-07-29,태화원,51,691500,쪽방촌 방문 여름나기 지원 활동에 참가한 인천사랑운동시민협의회 등 관계자와 간담,카드,,
2019-07-29,세자매회양념집,12,152000,찾아가는 시청 추진 관련 관계부서 및 국민운동단체 관계자와 간담,카드,,
2019-07-31,대명반점,13,211000,도서지역 주민 건강증진 관련 여론청취를 위한 인천의료원 등 유관기관 관계자와 간담,카드,,
,,,,,,,
2019-06-03,김태연,1,50000,소속 상근직원에 대한 경조사 비용 지급(김태연),현금,,
2019-06-04,청실홍실,3,30000,5급 공무원 역량강화를 위한 특강 후 관계자와 간담,카드,,
2019-06-07,우성꽃농원,,1000000,소속 상근직원 조사 시 사용할 조향세트 구입,카드,,
2019-06-10,이도참치,20,212000,서구 수질피해 비상대책 점검회의 후 상수도사업본부 등 유관기관 등과 간담,카드,,
2019-06-11,신선화로,11,115400,동구 연료전지 비대위 시청 앞 집회관련 청사방호 관계자와 오찬 간담,카드,,
2019-06-11,양평해장국,3,27000,서구 수질피해 비상대책 점검회의 후 비상근무 관계자 격려를 위한 간담,카드,,
2019-06-13,우렁찬 명품한우,20,430000,교육운영개선 및 직원 역량 강화를 위한 교육부서 담당자와 간담,카드,,
2019-06-13,대도가,10,148000,주민참여예산제 운영 방안 등에 대한 현황 청취를 위한 관계 직원과 간담,카드,,
2019-06-14,우성꽃농원,,798000,"5월중 관내 경조사 근조기, 축기 설치 비용",카드,,
2019-06-15,정가네손두부집,22,181000,서구 수질피해 현장 확인후 수질피해 복구를 위해 노고가 많은 상수도 직원 격려,카드,,
2019-06-16,다미초밥,4,45000,서구 수질피해 관련 피해주민에게 먹는물 공급을 위해 노고가 많은 근무자 격려,카드,,
2019-06-17,구봉산,20,256000,수질피해 관련 송수관 이초 작업현장 방문 및 민관합동조사단과 회의를 개최하고 간담,카드,,
2019-06-18,대도가,10,136000,서구 수질피해 관련 북항 4부두 일대 방류현장 점검 후 관계직원과 간담,카드,,
2019-06-18,관교동아구찜,9,96000,수질피해 관련 원창교 일대 수질테스트 현장 확인 후 관계 직원과 간담,카드,,
2019-06-19,당하동복지센터 등 12개소,12,6000000,수질피해 주민에게 생수공급  등으로 노고가 많은 행정복지센터 직원 격려위한 격려금,카드,,
2019-06-19,청실홍실,7,64000,서구 수질피해 관련 피해지역 일대 방류현장 확인 후 관계직원과 간담,카드,,
2019-06-21,꽃수레,,1005000,"5월중 관외 경조사 근조기, 축기 설치 비용",카드,,
2019-06-21,인천광역시노동조합,500,480000,수질피해 주민에게 생수공급을 위해 노고가 많은 유관기관 및 관계자에게 지급할 음료 구입,카드,,
2019-06-22,복지온누리약국,30,120000,서구 아시아드주경기장 생수집결지에서 생수공급 자원봉사 관계자에게 음료 제공,카드,,
2019-06-24,부산밀면돼지국밥,4,32000,제255회 인천광역시의회 제1차 정례회 시정질문 관련 소관부서와의 오찬 간담,카드,,
2019-06-24,코차인터내셔널,,83100,시장실 방문 민원인 및 방문객을 위한 차류 등 구입,카드,,
2019-06-24,영종동 행정복지센터 외 2,,1500000,수질 피해지역 생수공급 등으로 노고가 많은 행정복지센터 직원 격려위한 격려금,현금,,
2019-06-24,엄순흥 팀장 외 5명,6,300000,소속 상근직원에 대한 경조사 비용 지급(엄순흥 외 5명),현금,,
2019-06-25,이포르테㈜,126,2205000,5월분 직원 생일기념 케익상품권 공급 지출(126명),카드,,
2019-06-25,보건환경연구원,,1000000,수돗물 수질피해 관련 보건환경연구원 직원 격려에 따른 격려금,현금,,
2019-06-25,본도시락,22,201300,제255회 시의회 정례회 관련 시정질문 관련부서와 간담,카드,,
2019-06-25,신선화로,4,40000,수질피해 비상점검 회의 후 관계공무원과 오찬 간담,카드,,
2019-06-28,알피스페이스,83,1045800,2019년 상반기 퇴직자 격려를 위한 도서구입,카드,,
2019-06-28,힐로디,,157500,시장실 방문 민원인 및 방문객을 위한 차류 등 구입,카드,,
,,,,,,,
2019-06-01,장미횟집,11,154000,강화 창후항 수산시장 방문에 따른 어촌계장 및 이장단과 오찬 간담,카드,,
2019-06-02,굿모닝베트남,3,34000,6월 호국보훈 합동위령제 및 추도법회 관련 관계자와 오찬 간담,카드,,
2019-06-03,구내식당,6,120000,인천시 산림분야 발전을 위한 인천지역 산림조합장과 오찬 간담,카드,,
2019-06-03,솔밭나루터,20,450000,백령대청 국가지질공원 인증을 위한 실사자와 대청면 지역에서 오찬 간담,카드,,
2019-06-04,대성가든,20,450000,백령대청 국가지질공원 인증을 위한 실사자와 백령면 지역에서 오찬 간담,카드,,
2019-06-04,구내식당,6,180000,인천지역 수산물 유통현황 등에 대한 의견청취를 위한 수협장과 간담,카드,,
2019-06-05,갓빠참치,7,76000,제17회 인천자활한마당 행사 관련 자활유공자 오찬 간담,카드,,
2019-06-05,스시웨이,7,100000,인천경총 이사회 개최에 따른 해당부서 관계자와 오찬 간담,카드,,
2019-06-05,서해뻘산낙지,15,202000,서구지역 수질피해 관련 현장(세무고등학교) 점검 후 관계자 등과 간담,카드,,
2019-06-07,본도시락,13,111300,서구지역 수질피해 관련 대책마련을 위한 관련 전문가 자문회의 후 오찬 간담,카드,,
2019-06-07,명가낙지촌,10,141000,서구지역 수질피해 관련부서 대책회의 간담,카드,,
2019-06-07,한성집,8,79500,서구 수질피해 관련 민관합동 조사단 및 서구청 관계자와 현장 확인 후 간담,카드,,
2019-06-08,오봉산칼국수,3,31000,2019 배다리 책 피움 한마당 행사 후 관계자와 오찬 간담,카드,,
2019-06-10,황해모밀냉면,3,32500,영종 수질피해 지역 방문 후 관계자 등과 오찬 간담,카드,,
2019-06-10,신선화로,12,357200,을지태극연습 관련 구내식당 노무직과 의견청취 등을 위한 간담,카드,,
2019-06-11,참배나무골여의도,23,256000,수도권매립지 해결방안에 대한 여론청취를 위한 지역국회의원 보좌진 및 관계자 등과 간담,카드,,
2019-06-12,전복촌,5,55000,생활체육대축전 등 생횔체육 활성화를 위한 체육회 관계자와 간담,카드,,
2019-06-13,백령면옥,5,56000,서구지역 수질피해 관련 대책마련을 위한 관계 전문가와 간담,카드,,
2019-06-14,군산명월갈비,21,430000,2020년도 보통교부세 확보 관련 제도개선 건의를 위한 중앙부처 관계자와 간담,카드,,
2019-06-14,이도참치,9,180000,하수도 사용료 인상 관련 관계자와 간담,카드,,
2019-06-17,명동보리밥,28,410000,인천광역시 인권위원회 위원 및 인권보호관과 협업 증진을 위한 간담,카드,,
2019-06-21,유진초밥,6,71000,수돗물 수질피해 관련 비상대책지원단과 오찬 간담,카드,,
2019-06-21,신선화로,11,280900,수질 정상화 방안 등에 대한 논의를 위한 상수도본부 관계자 등과 간담,카드,,
2019-06-21,써브웨이,79,1074400,120미추홀콜센터 상담사의 수질피해 민원응대에 대한 노고 격려를 위한 간식 제공,카드,,
2019-06-22,백년면옥,4,40000,서구 아시아드주경기장 생수집결지에서 생수공급으로 노고가 많은 자원봉사 관계자와 간담,카드,,
2019-06-24,영종미담,11,88000,수질피해 관련 영종동 행정복지센터 방문 후 복지센터 직원과 오찬 간담,카드,,
2019-06-24,유끼돈까스,3,30000,수돗물 정상화를 위한 중구 민관대책위원회 회의 준비 관계자와 간담,카드,,
2019-06-26,프라자약국,20,55500,서구지역 송수관로 이토작업 관련 노고가 많은 자원봉사자 제공을 위한 음료 구입,카드,,
2019-06-27,유진초밥,16,179000,서구지역 말관 방류지점 현장방문 관련 상수도 관계직원과 간담,카드,,
,,,,,,,
2019-05-02,부평소방서119구조대,,500000,화재 및 인명구조 등으로 노고가 많은 부평소방서 119구조대 격려금 전달,카드,,
2019-05-03,베따르망 외 1,17,122500,인천우수제조식품 특별전 행사 관련 행사진행부서 및 직소민원부서 격려물품 구입,카드,,
2019-05-07,,2,100000,소속 상근직원에 대한 경조사 비용 지급(박명숙 외 1명),현금,,
2019-05-07,플러스에프엔디,8,85000,주한 중국대사 만찬 초청에 따른 수행직원 격려 간담,카드,,
2019-05-08,홈플러스,,402990,시장실 민원인 및 방문객을 위한 다과 및 차류 등 구입,카드,,
2019-05-08,삼화정,3,34000,어버이의 날 행사 관련 담당부서 직원 격려,카드,,
2019-05-10,우성꽃농원,,895000,"4월중 관내 경조사 근조기, 축기 설치",카드,,
2019-05-13,도미노피자,,269630,도시재생산업박람회 및 국가관광전략회의 개최로 노고가 많은 특정부서 간식 제공,카드,,
2019-05-14,,3,150000,소속 상근직원에 대한 경조사 비용 지급(전재범 외 2명),현금,,
2019-05-14,백령도메밀마을,31,708000,협치와 소통의 협력적 노사문화 정착을 위한 노사합동 간담회 개최,카드,,
2019-05-16,,1,50000,소속 상근직원에 대한 경조사 비용 지급(홍인표),현금,,
2019-05-17,꽃수레,,715000,"4월중 관외 경조사 근조기, 축기 설치",카드,,
2019-05-20,영월국묵전,21,178000,"공무직 노조와의 교섭역량 강화를 위한 시,군구 교섭위원 워크숍",카드,,
2019-05-21,사도시,21,748000,구내식당 현업근무자 격려를 위한 간담,카드,,
2019-05-21,,2,100000,소속 상근직원에 대한 경조사 비용 지급(신용주 외 1명),현금,,
2019-05-21,대도가,4,48000,여성 예비창업자 아카데미 관련 관계부서 관계자와 간담,카드,,
2019-05-23,전복촌,4,44000,공공청사 재배치관련 관계부서 의견청취 및 향후 배치계획 등에 관한 논의 간담,카드,,
2019-05-24,,66,500000,차량관리 및 차량운행 등으로 노고가 많은 현업근무자 운전원 격려,현금,,
2019-05-27,,4,200000,소속 상근직원에 대한 경조사 비용 지급(박동진 외 3명),현금,,
2019-05-29,새마을부대찌개,3,33000,을지태극연습 상황실 근무자 격려 등을 위한 간담,카드,,
2019-05-30,모미락,5,36000,헝가리 유람선 침몰사고 관련 유관기관 관계자와 사고자 현황파악 등을 위한 간담,카드,,
,,,,,,,
2019-05-01,숭의가든,4,37500,미추홀구민의 날 기념행사  후 행사담당 직원과의 오찬 간담,카드,,
2019-05-03,옛정,17,260000,제안 디자인 자문단 자문회의 개최에 따른 간담,카드,,
2019-05-04,하동관,5,60000,시 현안사항 건의를 위한 국회방문 및 지역국회의원 보좌진과 간담,카드,,
2019-05-07,문차이나,14,138000,국비확보 등을 위한 중앙부처 관계자와 간담,카드,,
2019-05-07,구내식당,7,210000,시정 현안사항에 대한 소통과 협조를 위한 산업경제위원회 위원과 간담,카드,,
2019-05-09,참새가물고온원두,8,40300,2040 수도권 광역도시계획 추진상황보고회 개최관련 인천연구원 연구관과 차담,카드,,
2019-05-10,송미옥,6,69000,동구 구민의 날 행사 관계자와 간담,카드,,
2019-05-11,백령면옥,3,34500,제11회 재인천 충남도민 체육대회 참석 후 관계자와 간담,카드,,
2019-05-13,이도참치,4,45000,신한은행과 시 자원봉사센터 차량지원 업무협약 관련 신한은행 관계자와 간담,카드,,
2019-05-14,본도시락,19,160400,시내버스 준공영제 종사자 임금협상 관련 해당부서 및 관계기관 관계자와 간담,카드,,
2019-05-15,대도가,5,48000,중국 칭다오시 시장 방인 및 인천항-칭다오항 협약체결 관련 항만공사 관계자와 간담,카드,,
2019-05-15,키친보리에,7,92000,수도권매립지 등 시 현안사업 추진을 위한 지역 국회의원과 간담,카드,,
2019-05-16,아리아리랑,17,488000,시정현안사항 논의 및 의견소통을 위한 공사공단 및 출자출연기관 대표자와 간담,카드,,
2019-05-16,어부신광호,77,1155000,2019 지적세미나 및 지적재조사 경진대회 간담,카드,,
2019-05-17,원조아카시아,8,219000,제3보급단 부대이전 관련 추진계획 등 논의위한 관계기관과 간담,카드,,
2019-05-17,스시웨이,8,88500,인천 자동차산업 발전방향 모색을 위한 인천 TP등 유관기관 관계자와 간담,카드,,
2019-05-20,담미골,8,215000,인천 자동차산업 발전방향 모색을 위한 자동차포럼 관계자와 간담,카드,,
2019-05-21,황소야,12,143000,인천 사회복지시설 민관워크숍 개최관련 복지시설 관계자와 간담,카드,,
2019-05-22,어우러기,5,57000,인천광역시 부식품등 지원센터 개소 관련 관계자 등과 간담,카드,,
2019-05-22,생선구이구이,18,158000,2019년 제3회 도시재생위원회 개최관련 간담,카드,,
2019-05-24,황제삼계탕,5,52000,공사공단 주례 간담회를 실시하고 공사공단 관계자와 오찬 간담,카드,,
2019-05-27,신선화로,3,30000,인천도시공사 실버사원 채용사업 발대식 후 참석 관계자와 간담,카드,,
2019-05-27,곡가,4,38000,남북교류 협력 방안 등에 대한 관계부서 의견청취 등을 위한 관계자와 간담,카드,,
2019-05-28,지미스,14,242000,제2회 추경예산안 관련 의회 예결위원회 위원과 간담,카드,,
2019-05-29,본도시락,30,450000,지역 농축협 유관기관 단체장과의 간담,카드,,
2019-05-29,젊은농부해피타운,11,152000,인천문화재단 미술품 전시회 관련 여론청취를 위한 문화재단 관계자와 간담,카드,,
2019-05-30,구내식당,8,160000,빈집 활용을 통한 재생사업 활성화 업무협약 체결에 따른 간담,카드,,
2019-05-31,코코호도,,279000,"교부세 산정방향 건의, 국비확보 등을 위한 행안부 관계직원과 간담",카드,,
,,,,,,,
2019-04-01,너섬오뎅집,5,59000,지역국회의원 보좌관과 간담회 개최 후 중앙협력본부 직원 노고 격려,카드,,
2019-04-02,전복촌,6,68000,국가관광 전략회의 지원부서 관계자와 간담,카드,,
2019-04-03,백령도중화동우성냉면,6,51000,2019 인천 여성취업박람회 지원부서 관계자와 오찬 간담,카드,,
2019-04-04,강화소방서,,300000,군구 맞춤형 방문에 따른 방문기관(강화소방서) 격려금 전달,현금,,
2019-04-04,조양방직,12,147000,강화군 맞춤형 방문 후 시와 강화군 추진부서 직원 노고 격려,카드,,
2019-04-04,김치조치,7,78000,계양구 맞춤형 방문 주민건의 현장확인 및 관계부서 관계자와 간담,카드,,
2019-04-04,부평관광호텔 웨딩컨벤션,103,2160000,학습동아리 혜윰 역량강화 워크숍 참여 직원 격려,카드,,
2019-04-05,도미노피자,34,235750,열린광장 조성 등으로 노고가 많은 공원녹지과 직원 격려를 위한 간식 제공,카드,,
2019-04-08,현장대응과,,300000,산불 등 화재진압 등으로 노고가 많은 현장대응과 격려를 위한 격려금 지급,현금,,
2019-04-08,대명반점,29,850000,인천시정에 대한 의견 청취 및 직원과의 소통을 위한 6급직원 등과 간담,카드,,
2019-04-09,홈플러스,,396580,시장실 민원인 및 방문객을 위한 다과 및 차류 등 구입,카드,,
2019-04-10,명동보리밥,43,344000,새내기 직원과 의견 소통을 위한 간담,카드,,
2019-04-10,CGV인천점,43,530000,새내기 직원과 영화보기를 위한 영화표 및 음료 구입,카드,,
2019-04-15,,10,500000,소속 상근직원에 대한 경조사 비용 지급(송은정 외  9명),현금,,
2019-04-15,도미노피자,,224580,데이터 역량 제고를 위한 데이터엘리트 양성 교육대상자 격려위한 간식 구입,카드,,
2019-04-15,도미노피자,,150000,1/4분기 협업포인트 우수부서 간식비 지출,카드,,
2019-04-15,세종일식,15,425000,시정 현안사항 건의 및 협조를 위한 기획재정부 등 중앙부처 관계자 등과 간담,카드,,
2019-04-16,,,-100000,"이중 지급된 경조사 비용 반납(전익찬, 박원호)",,,
2019-04-17,한경희전라도밥상,8,84000,매립지 종료 및 대체매립지 조성 관련 수도권매립지정책개선단 관게자와 간담,카드,,
2019-04-19,청원경찰,,500000,집회 및 시위 등으로 노고가 많은 청원경찰 격려를 위한 격려금,현금,,
2019-04-19,우성꽃화원,,1125000,"3월중 경조사 근조기, 축기 설치",카드,,
2019-04-19,도미노피자,,481800,벚꽃축제로 인하여 노고가 많은 대공원사업소 직원 격려,카드,,
2019-04-19,유진초밥,5,62000,제39회 장애인의 날 기념식 후 관련부서 관계자와 오찬 간담,카드,,
2019-04-22,,5,250000,소속 상근직원에 대한 경조사 비용 지급(홍윤숙 외 4명),현금,,
2019-04-23,본도시락,11,122400,인천광역시 일자리위원회 1차 회의 후 관게부서 직원과의 간담,카드,,
2019-04-24,불로대곡동 행정복지센터,,300000,군구 맞춤형 방문에 따른 방문기관(불로대곡동) 격려금 전달,현금,,
2019-04-25,화룽,18,306000,신문보도 등 시정홍보 추진부서인  대변인실 직원 격려,카드,,
2019-04-26,전주숯불고기갈비탕,8,78000,집회 및 시위 등에 따른 방호대책 논의위한 청사방호 관계자와 간담,카드,,
2019-04-29,젊은농부해피타운,28,764000,협치와 소통의 협력적 노사문화 정착을 위한 노사합동 간담,카드,,
2019-04-30,진흥통상비엔에이,,3000000,"시 방문 내방객, 타기관 방문 견학, 업무협조 관계자 등에 제공하는 기념품 구입",카드,,
,,,,,,,
2019-04-01,장금수부대찌개,11,101000,수도권매립지 관련 여론 청취를 위한 관련부서 및 환경단체 관계자와 간담,카드,,
2019-04-01,BHC국회의사당점,10,150500,경인고속도로 지하화 등 현안사업 설명 및 협조를 위한 국회의원 보좌진과 간담,카드,,
2019-04-04,인천집,13,210000,국가관광 전략회의에 따른 시 관광산업 혁신 방안 논의위한 인천관광공사 등과 간담,카드,,
2019-04-05,대도가,5,48000,도시교통체계 구축 관련 여론청취를 위한 교통공사 등 유관기관 관계자와 간담,카드,,
2019-04-05,명가,10,290000,시 농축산분야 현안사항 협의 및 건의를 위한 농림축산식품부 관계자와 간담,카드,,
2019-04-08,샌드공방,50,955000,더불어민주당 인천광역시당-인천광역시 정책협의회 관련 조찬,카드,,
2019-04-08,인천광역시,14,210000,시정현안사항 및 의원 관심사항에 대한 소통과 협조를 위한 시의회와 간담,카드,,
2019-04-11,젊은농부해피타운,4,36000,블록체인 시정업무 적용관련 동향 분석을 위한 블록체인 관계자와 간담,카드,,
2019-04-12,산맥,9,148000,청년정책 기본계획 수립을 위한 청년정책위원과 간담,카드,,
2019-04-16,인천광역시,14,210000,시정 현안사항 및 의원 관심사항에 대한 소통과 협조를 위한 오찬 간담,카드,,
2019-04-17,인천광역시,48,1392000,2019 예산정책협의회 개최에 따른 관련자와 간담,카드,,
2019-04-17,본도시락,47,846000,2019 예산정책협의회 개최에 따른 관련자(보좌관 등) 등 중식(김밥) 구입,카드,,
2019-04-18,인천광역시,14,210000,기획행정위원회 위원과 소통 및 협조를 위한 간담,카드,,
2019-04-19,별미설렁탕칡냉면,3,32000,인천전자랜드 선수 관계자 등과 간담,카드,,
2019-04-19,갓빠참치,8,96000,공공체육시설 운영개선 여론 청취를 위한 유관기관 관계자와 간담,카드,,
2019-04-20,해월토장집,3,36000,제17회 푸른인천글쓰기 대회 개최행사 관계자와 간담,카드,,
2019-04-20,우정일식당,15,386000,제물포 구락부 렉처 콘서트 관계자와 간담,카드,,
2019-04-22,삿뽀로,14,400000,유관기관과의 시정 현안사항 협조 및 소통을 통한 의견 수렴 등을 위한 유관기관과의 간담,카드,,
2019-04-24,황해모밀냉면,3,31500,인천광역시장배 전국론볼대회 참석 후 관계자와 오찬 간담,카드,,
2019-04-24,남촌설렁탕,3,36000,2019 근로자의 날 기념행사 참석 후 관계자와 간담,카드,,
2019-04-25,구봉산,7,64000,새마을의 날 기념식 참석 후 행사 관계자와 오찬 간담,카드,,
2019-04-25,인천광역시,14,210000,건설교통위원회 위원과 소통 및 협조를 위한 간담,카드,,
2019-04-26,혜원집,8,196000,동아시아문화도시 축제 인천 개최 관련 관계자와 간담,카드,,
2019-04-26,스시웨이,5,75000,인천 크루즈 터미널 개장식 및 크루즈 불꽃축제 후 유관기관 관계자와 간담,카드,,
2019-04-29,전라도맛내고향,12,116000,민선7기 재정운용 방향에 관한 열린토론회 개최 관련 관계부서 및 유관기관과 간담,카드,,
2019-04-30,구이구이,14,240000,2018 회계년도 결산검사에 따른 관계부서 및 결산검사위원과의 오찬 간담,카드,,
,,,,,,,
2019-03-01,부자횟집,34,505000,제100주년 3.1절  기념행사 종료 후 각 보훈단체 회원과 간담,카드,,
2019-03-05,,2,100000,소속 상근직원에 대한 경조사 비용 지급(우성진 외  1명),현금,,
2019-03-05,명동보리밥,23,136000,2019년도 지적재조사 정책공유 회의 개최에 따른 간담,카드,,
2019-03-11,법무담당관실,,500000,대통령 기관표창 우수부서인 법무담당관실 격려금 전달,현금,,
2019-03-11,,,-50000,소속 상근직원에 대한 경조사 착오지급 비용 반납(우성진),,,
2019-03-11,,3,150000,소속 상근직원에 대한 경조사 비용 지급(박종빈 외  2명),현금,,
2019-03-12,명동보리밥,6,60000,"공직자 아카데미 주제, 강연 선정 등과 관련 인사과와 협의를 위한 간담",카드,,
2019-03-12,홈플러스,,363710,시장실 민원인 및 방문객을 위한 다과 및 차류 등 구입,카드,,
2019-03-14,영종1동행정복지센터,,300000,군.구 맞춤형 연두방문에 따른 방문기관(영종1동 행정복지센터) 격려금 전달,현금,,
2019-03-14,고메돈까스,20,267100,"직원복지, 방호, 비서업무 등으로 노고가 많은 총무과 소관 여직원 격려 간담",카드,,
2019-03-14,미소로,7,72000,인천창조경제혁신센터 출연사업 추진 관련 산업진흥과 담당팀과 간담,카드,,
2019-03-15,용현3동행정복지센터,,300000,군.구 맞춤형 연두방문에 따른 방문기관(용현3동 행정복지센터) 격려금 전달,현금,,
2019-03-19,,8,400000,소속 상근직원에 대한 경조사 비용 지급(한점희 외  7명),현금,,
2019-03-21,진흥통상비엔에이치,,3100000,"직역특산품 홍보, 내방객, 업무협조, 비교견학 등 관계자를 위한 기념품 구입",카드,,
2019-03-22,계양3동 행정복지센터,,300000,군.구 맞춤형 연두방문에 따른 방문기관(계양3동 행정복지센터) 격려금 전달,현금,,
2019-03-22,우성꽃농원,,1090000,"2월중 경조사 근조기, 축기 설치",카드,,
2019-03-26,삿뽀로,6,75000,시의회 제253회 임시회 제2차 본회의 관련 의회업무 추진 직원 격려,카드,,
2019-03-27,,4,200000,소속 상근직원에 대한 경조사 비용 지급(전익찬 외  3명),현금,,
2019-03-27,백령도옹진면옥,4,37000,시의회 제253회 임시회 제3차 본회의 관련 의회업무 추진 직원들과 간담,카드,,
2019-03-27,버스정책과,,500000,버스준공영제 업무추진을 효율적으로 추진한 버스정책과 직원 노고 격려금 전달,현금,,
2019-03-28,삼화정,3,30000,인천광역시의사회 정기대의원총회 관련 보건정책과 직원과의 간담,카드,,
2019-03-29,한경희전라도밥상,8,83000,시의회 제253회 임시회 제5차 본회의 관련 의회업무 관련 직원들과 간담,카드,,
2019-03-31,카페드라페,8,61700,확대국가관광 전략회의 현장 답사후 관광진흥과 직원들과 간담,카드,,
,,,,,,,
2019-03-01,백제원,10,129000,"아트센터 인천, 2019년 기획공연 관련 유관기관 관계자와 간담",카드,,
2019-03-07,스시민청라점,4,60600,군부대 이전지 활용 관련 여론 청취를 위한 유관기관 관계자와 간담,카드,,
2019-03-11,미소로,16,144000,제안디자인 자문단 자문위원 위촉 및 제1회 자문회의 개최에 따른 간담회 개최,카드,,
2019-03-11,화룽,10,212000,예산정책협의회 개최 관련 의원 보좌진과 일정협의 및 건의자료 설명 등 간담,카드,,
2019-03-11,인천집,11,206000,상상e가득 시정경연대회 관련 제안 디자인 자문위원과 간담,카드,,
2019-03-15,시청 구내식당,30,45000,수도권매립지 등 현안사항 논의를 위한 실국장 및 공사공단 사장단 조찬 간담,카드,,
2019-03-18,부라더목장,13,280000,시.도체육회 순회 간담회 관련 여론 청취를 위한 시 체육회 관계자와 간담,카드,,
2019-03-18,경복궁,13,274000,자치경찰 추진 및 지역 치안 관련 여론청취를 위한 인천지방경찰청 관계자와의 간담,카드,,
2019-03-19,정윤기황칠낙지,11,240000,지역 국회의원 및 보좌진 초청 인천경제자유구역 사업 현장 설명 및 간담,카드,,
2019-03-20,시청 구내식당,10,150000,서해평화협력시대를 선도하기 위한 안보정책 자문단 회의 개최,카드,,
2019-03-20,삼화정,3,30000,치과의사회 건의사항 등 청취를  위한 시 치과의사회 관계자와의 간담,카드,,
2019-03-20,미가족보,8,112000,사회복지종사자 처우개선방안 등 여론청취를 위한 사회복지협회 관계자와 간담,카드,,
2019-03-21,본도시락,15,171900,평화도시조성위원회 정기회의 개최관련 당연직 위원 및 관계자와 간담,카드,,
2019-03-22,버거킹인천구월점,7,56900,"집단민원인의 집회, 시위 등 증가에 따른 청사방호 관계자와 오찬 간담",카드,,
2019-03-22,자성화맛집코다리네,8,96000,v-리그 챔피언 결정전에 진출한 인천연고 대한항공 배구단 관계자와 간담,카드,,
2019-03-25,라무진,13,249000,시내버스 준공영제 제도개선 관련 여론 청취를 위한 유관기관 관계자와 간담,카드,,
2019-03-26,정가네손두부집,10,88000,인천민주화운동기념관 건립 관련 여론 청취를 위한 유관기관 관계자와 간담,카드,,
2019-03-27,정가네손두부집,5,52000,수도권매립지 관련 여론청취를 위한 환경공단 등 유관기관 관계자와 간담,카드,,
2019-03-27,이채은의 오리보감,11,275000,지하철 노선 연장 등 철도 현안사업 관련 논의를 위한 간담,카드,,
2019-03-29,황제삼계탕,6,78000,국가안전대진단 현장방문 관련 차기 방문지 논의를 위한 유관기관 관계자와 간담,카드,,
2019-03-29,레이중화요리,5,62000,"스마트시티 챌린지 사업 관련 인천연구원 박사, 관내대학 교수 등과 간담",카드,,
,,,,,,,
2019-02-01,전주의맛,11,123000,설맞이 시민 교통편의 증진을 위한 유관기관 관계자와 간담,카드,,
2019-02-07,,4,200000,소속 상근직원에 대한 경조사 비용 지급(이정민 외  3명),현금,,
2019-02-07,,,200000,설맞이 시민생활현장 방문에 따른 현업기관(소래119안전센터) 격려금 지,현금,,
2019-02-08,인천집,6,128000,전국장애인동계체육대회 인천선수단 결단식 관련 선수단 관계자와 간담,카드,,
2019-02-18,,5,250000,소속 상근직원에 대한 경조사 비용 지급(김석환 과장 외  4명),현금,,
2019-02-18,우성꽃화원,,2370000,"2019. 1월중 경조사 근조, 축기 설치비",카드,,
2019-02-19,공무원노동조합,,100000,"인사업무 담당자 워크숍 실시에 따른 격려품(음료, 다과류) 구입 및 지급",카드,,
2019-02-21,본도시락,16,188200,장기미집행공원 추진 관련 유관 기관.단체와의 오찬 간담,카드,,
2019-02-21,연참치,6,75000,미세먼지 대응을 위한 관계 기관과의 오찬 간담,카드,,
2019-02-25,피자나라치킨공주,25,142400,호주 시드니 세계학술대회 참가 부서 직원 격려,카드,,
2019-02-28,옛정,17,400000,인천지역 출입언론사와 만찬 간담,카드,,
,,,,,,,
2019-02-01,굿모닝베트남,3,33000,북한이탈주민 지원 관련 센터 관계자와 간담,카드,,
2019-02-01,잠금수부대찌개,8,64000,설 연휴 상황관리 및 재난대응 관련 유관기관 관계자와 간담,카드,,
2019-02-07,한경희전라도방상,6,54000,인천유나이티드 포토데이 관련 구단 관계자와 오찬 간담,카드,,
2019-02-11,본도시락,17,180000,전통시장 정책관련 여론청취를 위한 유관기관 관계자와 간담,카드,,
2019-02-11,사도시,5,45000,3월중 시장 일정조정 관련 유관기관 관계자와 간담,카드,,
2019-02-12,대도가,12,176000,재개발사업 및 더블어 마을 조성 관련 유관기관 관계자와 간담,카드,,
2019-02-13,송추가마골,5,54000,영상산업 발전 및 지원을 위한 유관기관 관계자와 간담,카드,,
2019-02-14,황제삼계탕,6,65000,검단지역 현안사업 관련 유관기관 관계자와 간담,카드,,
2019-02-14,장어랑민물장어,12,210000,상습교통정체구간 개선 등을 위한 유관기관 관계자와 간담,카드,,
2019-02-18,삼화리,11,126500,검단지역 민원 해결을 위한 검단주민총연합회 회원들과 간담,카드,,
